Dex	Sprite	Name	HP	Att	Def	Spec_Att	Spec_Def	Speed	Total	Avg
0001	Bulbasaur	Bulbasaur	45	49	49	65	65	45	318	53
0002	Ivysaur	Ivysaur	60	62	63	80	80	60	405	67.5
0003	Venusaur	Venusaur	80	82	83	100	100	80	525	87.5
0004	Charmander	Charmander	39	52	43	60	50	65	309	51.5
0005	Charmeleon	Charmeleon	58	64	58	80	65	80	405	67.5
0006	Charizard	Charizard	78	84	78	109	85	100	534	89
0007	Squirtle	Squirtle	44	48	65	50	64	43	314	52.33
0008	Wartortle	Wartortle	59	63	80	65	80	58	405	67.5
0009	Blastoise	Blastoise	79	83	100	85	105	78	530	88.33
0010	Caterpie	Caterpie	45	30	35	20	20	45	195	32.5
0011	Metapod	Metapod	50	20	55	25	25	30	205	34.17
0012	Butterfree	Butterfree	60	45	50	80	80	70	385	64.17
0013	Weedle	Weedle	40	35	30	20	20	50	195	32.5
0014	Kakuna	Kakuna	45	25	50	25	25	35	205	34.17
0015	Beedrill	Beedrill	65	80	40	45	80	75	385	64.17
0016	Pidgey	Pidgey	40	45	40	35	35	56	251	41.83
0017	Pidgeotto	Pidgeotto	63	60	55	50	50	71	349	58.17
0018	Pidgeot	Pidgeot	83	80	75	70	70	91	469	78.17
0019	Rattata	Rattata	30	56	35	25	35	72	253	42.17
0020	Raticate	Raticate	55	81	60	50	70	97	413	68.83
0021	Spearow	Spearow	40	60	30	31	31	70	262	43.67
0022	Fearow	Fearow	65	90	65	61	61	100	442	73.67
0023	Ekans	Ekans	35	60	44	40	54	55	288	48
0024	Arbok	Arbok	60	85	69	65	79	80	438	73
0025	Pikachu	Pikachu	35	55	30	50	40	90	300	50
0026	Raichu	Raichu	60	90	55	90	80	100	475	79.17
0027	Sandshrew	Sandshrew	50	75	85	20	30	40	300	50
0028	Sandslash	Sandslash	75	100	110	45	55	65	450	75
0029	Nidoran♀	Nidoran♀	55	47	52	40	40	41	275	45.83
0030	Nidorina	Nidorina	70	62	67	55	55	56	365	60.83
0031	Nidoqueen	Nidoqueen	90	82	87	75	85	76	495	82.5
0032	Nidoran♂	Nidoran♂	46	57	40	40	40	50	273	45.5
0033	Nidorino	Nidorino	61	72	57	55	55	65	365	60.83
0034	Nidoking	Nidoking	81	92	77	85	75	85	495	82.5
0035	Clefairy	Clefairy	70	45	48	60	65	35	323	53.83
0036	Clefable	Clefable	95	70	73	85	90	60	473	78.83
0037	Vulpix	Vulpix	38	41	40	50	65	65	299	49.83
0038	Ninetales	Ninetales	73	76	75	81	100	100	505	84.17
0039	Jigglypuff	Jigglypuff	115	45	20	45	25	20	270	45
0040	Wigglytuff	Wigglytuff	140	70	45	75	50	45	425	70.83
0041	Zubat	Zubat	40	45	35	30	40	55	245	40.83
0042	Golbat	Golbat	75	80	70	65	75	90	455	75.83
0043	Oddish	Oddish	45	50	55	75	65	30	320	53.33
0044	Gloom	Gloom	60	65	70	85	75	40	395	65.83
0045	Vileplume	Vileplume	75	80	85	100	90	50	480	80
0046	Paras	Paras	35	70	55	45	55	25	285	47.5
0047	Parasect	Parasect	60	95	80	60	80	30	405	67.5
0048	Venonat	Venonat	60	55	50	40	55	45	305	50.83
0049	Venomoth	Venomoth	70	65	60	90	75	90	450	75
0050	Diglett	Diglett	10	55	25	35	45	95	265	44.17
0051	Dugtrio	Dugtrio	35	80	50	50	70	120	405	67.5
0052	Meowth	Meowth	40	45	35	40	40	90	290	48.33
0053	Persian	Persian	65	70	60	65	65	115	440	73.33
0054	Psyduck	Psyduck	50	52	48	65	50	55	320	53.33
0055	Golduck	Golduck	80	82	78	95	80	85	500	83.33
0056	Mankey	Mankey	40	80	35	35	45	70	305	50.83
0057	Primeape	Primeape	65	105	60	60	70	95	455	75.83
0058	Growlithe	Growlithe	55	70	45	70	50	60	350	58.33
0059	Arcanine	Arcanine	90	110	80	100	80	95	555	92.5
0060	Poliwag	Poliwag	40	50	40	40	40	90	300	50
0061	Poliwhirl	Poliwhirl	65	65	65	50	50	90	385	64.17
0062	Poliwrath	Poliwrath	90	85	95	70	90	70	500	83.33
0063	Abra	Abra	25	20	15	105	55	90	310	51.67
0064	Kadabra	Kadabra	40	35	30	120	70	105	400	66.67
0065	Alakazam	Alakazam	55	50	45	135	85	120	490	81.67
0066	Machop	Machop	70	80	50	35	35	35	305	50.83
0067	Machoke	Machoke	80	100	70	50	60	45	405	67.5
0068	Machamp	Machamp	90	130	80	65	85	55	505	84.17
0069	Bellsprout	Bellsprout	50	75	35	70	30	40	300	50
0070	Weepinbell	Weepinbell	65	90	50	85	45	55	390	65
0071	Victreebel	Victreebel	80	105	65	100	60	70	480	80
0072	Tentacool	Tentacool	40	40	35	50	100	70	335	55.83
0073	Tentacruel	Tentacruel	80	70	65	80	120	100	515	85.83
0074	Geodude	Geodude	40	80	100	30	30	20	300	50
0075	Graveler	Graveler	55	95	115	45	45	35	390	65
0076	Golem	Golem	80	110	130	55	65	45	485	80.83
0077	Ponyta	Ponyta	50	85	55	65	65	90	410	68.33
0078	Rapidash	Rapidash	65	100	70	80	80	105	500	83.33
0079	Slowpoke	Slowpoke	90	65	65	40	40	15	315	52.5
0080	Slowbro	Slowbro	95	75	110	100	80	30	490	81.67
0081	Magnemite	Magnemite	25	35	70	95	55	45	325	54.17
0082	Magneton	Magneton	50	60	95	120	70	70	465	77.5
0083	Farfetch'd	Farfetch'd	52	65	55	58	62	60	352	58.67
0084	Doduo	Doduo	35	85	45	35	35	75	310	51.67
0085	Dodrio	Dodrio	60	110	70	60	60	100	460	76.67
0086	Seel	Seel	65	45	55	45	70	45	325	54.17
0087	Dewgong	Dewgong	90	70	80	70	95	70	475	79.17
0088	Grimer	Grimer	80	80	50	40	50	25	325	54.17
0089	Muk	Muk	105	105	75	65	100	50	500	83.33
0090	Shellder	Shellder	30	65	100	45	25	40	305	50.83
0091	Cloyster	Cloyster	50	95	180	85	45	70	525	87.5
0092	Gastly	Gastly	30	35	30	100	35	80	310	51.67
0093	Haunter	Haunter	45	50	45	115	55	95	405	67.5
0094	Gengar	Gengar	60	65	60	130	75	110	500	83.33
0095	Onix	Onix	35	45	160	30	45	70	385	64.17
0096	Drowzee	Drowzee	60	48	45	43	90	42	328	54.67
0097	Hypno	Hypno	85	73	70	73	115	67	483	80.5
0098	Krabby	Krabby	30	105	90	25	25	50	325	54.17
0099	Kingler	Kingler	55	130	115	50	50	75	475	79.17
0100	Voltorb	Voltorb	40	30	50	55	55	100	330	55
0101	Electrode	Electrode	60	50	70	80	80	140	480	80
0102	Exeggcute	Exeggcute	60	40	80	60	45	40	325	54.17
0103	Exeggutor	Exeggutor	95	95	85	125	65	55	520	86.67
0104	Cubone	Cubone	50	50	95	40	50	35	320	53.33
0105	Marowak	Marowak	60	80	110	50	80	45	425	70.83
0106	Hitmonlee	Hitmonlee	50	120	53	35	110	87	455	75.83
0107	Hitmonchan	Hitmonchan	50	105	79	35	110	76	455	75.83
0108	Lickitung	Lickitung	90	55	75	60	75	30	385	64.17
0109	Koffing	Koffing	40	65	95	60	45	35	340	56.67
0110	Weezing	Weezing	65	90	120	85	70	60	490	81.67
0111	Rhyhorn	Rhyhorn	80	85	95	30	30	25	345	57.5
0112	Rhydon	Rhydon	105	130	120	45	45	40	485	80.83
0113	Chansey	Chansey	250	5	5	35	105	50	450	75
0114	Tangela	Tangela	65	55	115	100	40	60	435	72.5
0115	Kangaskhan	Kangaskhan	105	95	80	40	80	90	490	81.67
0116	Horsea	Horsea	30	40	70	70	25	60	295	49.17
0117	Seadra	Seadra	55	65	95	95	45	85	440	73.33
0118	Goldeen	Goldeen	45	67	60	35	50	63	320	53.33
0119	Seaking	Seaking	80	92	65	65	80	68	450	75
0120	Staryu	Staryu	30	45	55	70	55	85	340	56.67
0121	Starmie	Starmie	60	75	85	100	85	115	520	86.67
0122	Mr. Mime	Mr. Mime	40	45	65	100	120	90	460	76.67
0123	Scyther	Scyther	70	110	80	55	80	105	500	83.33
0124	Jynx	Jynx	65	50	35	115	95	95	455	75.83
0125	Electabuzz	Electabuzz	65	83	57	95	85	105	490	81.67
0126	Magmar	Magmar	65	95	57	100	85	93	495	82.5
0127	Pinsir	Pinsir	65	125	100	55	70	85	500	83.33
0128	Tauros	Tauros	75	100	95	40	70	110	490	81.67
0129	Magikarp	Magikarp	20	10	55	15	20	80	200	33.33
0130	Gyarados	Gyarados	95	125	79	60	100	81	540	90
0131	Lapras	Lapras	130	85	80	85	95	60	535	89.17
0132	Ditto	Ditto	48	48	48	48	48	48	288	48
0133	Eevee	Eevee	55	55	50	45	65	55	325	54.17
0134	Vaporeon	Vaporeon	130	65	60	110	95	65	525	87.5
0135	Jolteon	Jolteon	65	65	60	110	95	130	525	87.5
0136	Flareon	Flareon	65	130	60	95	110	65	525	87.5
0137	Porygon	Porygon	65	60	70	85	75	40	395	65.83
0138	Omanyte	Omanyte	35	40	100	90	55	35	355	59.17
0139	Omastar	Omastar	70	60	125	115	70	55	495	82.5
0140	Kabuto	Kabuto	30	80	90	55	45	55	355	59.17
0141	Kabutops	Kabutops	60	115	105	65	70	80	495	82.5
0142	Aerodactyl	Aerodactyl	80	105	65	60	75	130	515	85.83
0143	Snorlax	Snorlax	160	110	65	65	110	30	540	90
0144	Articuno	Articuno	90	85	100	95	125	85	580	96.67
