DEC	HEX	ITEM	Image	Bag Pocket
000	0x00	?	Bag Items pocket icon.png	Items pocket
001	0x01	Master Ball	Bag Poké Balls pocket icon.png	Poké Balls pocket
002	0x02	Ultra Ball	Bag Poké Balls pocket icon.png	Poké Balls pocket
003	0x03	BrightPowder	Bag Items pocket icon.png	Items pocket
004	0x04	Great Ball	Bag Poké Balls pocket icon.png	Poké Balls pocket
005	0x05	Poké Ball	Bag Poké Balls pocket icon.png	Poké Balls pocket
006	0x06	Teru-sama	Bag Items pocket icon.png	Items pocket
007	0x07	Bicycle	Bag Key items pocket icon.png	Key items pocket
008	0x08	Moon Stone	Bag Items pocket icon.png	Items pocket
009	0x09	Antidote	Bag Items pocket icon.png	Items pocket
010	0x0A	Burn Heal	Bag Items pocket icon.png	Items pocket
011	0x0B	Ice Heal	Bag Items pocket icon.png	Items pocket
012	0x0C	Awakening	Bag Items pocket icon.png	Items pocket
013	0x0D	Parlyz Heal	Bag Items pocket icon.png	Items pocket
014	0x0E	Full Restore	Bag Items pocket icon.png	Items pocket
015	0x0F	Max Potion	Bag Items pocket icon.png	Items pocket
016	0x10	Hyper Potion	Bag Items pocket icon.png	Items pocket
017	0x11	Super Potion	Bag Items pocket icon.png	Items pocket
018	0x12	Potion	Bag Items pocket icon.png	Items pocket
019	0x13	Escape Rope	Bag Items pocket icon.png	Items pocket
020	0x14	Repel	Bag Items pocket icon.png	Items pocket
021	0x15	Max Elixer	Bag Items pocket icon.png	Items pocket
022	0x16	Fire Stone	Bag Items pocket icon.png	Items pocket
023	0x17	Thunderstone	Bag Items pocket icon.png	Items pocket
024	0x18	Water Stone	Bag Items pocket icon.png	Items pocket
025	0x19	Teru-sama	Bag Items pocket icon.png	Items pocket
026	0x1A	HP Up	Bag Items pocket icon.png	Items pocket
027	0x1B	Protein	Bag Items pocket icon.png	Items pocket
028	0x1C	Iron	Bag Items pocket icon.png	Items pocket
029	0x1D	Carbos	Bag Items pocket icon.png	Items pocket
030	0x1E	Lucky Punch	Bag Items pocket icon.png	Items pocket
031	0x1F	Calcium	Bag Items pocket icon.png	Items pocket
032	0x20	Rare Candy	Bag Items pocket icon.png	Items pocket
033	0x21	X Accuracy	Bag Items pocket icon.png	Items pocket
034	0x22	Leaf Stone	Bag Items pocket icon.png	Items pocket
035	0x23	Metal Powder	Bag Items pocket icon.png	Items pocket
036	0x24	Nugget	Bag Items pocket icon.png	Items pocket
037	0x25	Poké Doll	Bag Items pocket icon.png	Items pocket
038	0x26	Full Heal	Bag Items pocket icon.png	Items pocket
039	0x27	Revive	Bag Items pocket icon.png	Items pocket
040	0x28	Max Revive	Bag Items pocket icon.png	Items pocket
041	0x29	Guard Spec.	Bag Items pocket icon.png	Items pocket
042	0x2A	Super Repel	Bag Items pocket icon.png	Items pocket
043	0x2B	Max Repel	Bag Items pocket icon.png	Items pocket
044	0x2C	Dire Hit	Bag Items pocket icon.png	Items pocket
045	0x2D	Teru-sama	Bag Items pocket icon.png	Items pocket
046	0x2E	Fresh Water	Bag Items pocket icon.png	Items pocket
047	0x2F	Soda Pop	Bag Items pocket icon.png	Items pocket
048	0x30	Lemonade	Bag Items pocket icon.png	Items pocket
049	0x31	X Attack	Bag Items pocket icon.png	Items pocket
050	0x32	Teru-sama	Bag Items pocket icon.png	Items pocket
051	0x33	X Defend	Bag Items pocket icon.png	Items pocket
052	0x34	X Speed	Bag Items pocket icon.png	Items pocket
053	0x35	X Special	Bag Items pocket icon.png	Items pocket
054	0x36	Coin Case	Bag Key items pocket icon.png	Key items pocket
055	0x37	Itemfinder	Bag Key items pocket icon.png	Key items pocket
056	0x38	Teru-sama	Bag Items pocket icon.png	Items pocket
057	0x39	Exp.Share	Bag Items pocket icon.png	Items pocket
058	0x3A	Old Rod	Bag Key items pocket icon.png	Key items pocket
059	0x3B	Good Rod	Bag Key items pocket icon.png	Key items pocket
060	0x3C	Silver Leaf	Bag Items pocket icon.png	Items pocket
061	0x3D	Super Rod	Bag Key items pocket icon.png	Key items pocket
062	0x3E	PP Up	Bag Items pocket icon.png	Items pocket
063	0x3F	Ether	Bag Items pocket icon.png	Items pocket
064	0x40	Max Ether	Bag Items pocket icon.png	Items pocket
065	0x41	Elixer	Bag Items pocket icon.png	Items pocket
066	0x42	Red Scale	Bag Key items pocket icon.png	Key items pocket
067	0x43	SecretPotion	Bag Key items pocket icon.png	Key items pocket
068	0x44	S.S. Ticket	Bag Key items pocket icon.png	Key items pocket
069	0x45	Mystery Egg	Bag Key items pocket icon.png	Key items pocket
070	0x46	Clear Bell*	Bag Key items pocket icon.png	Key items pocket
071	0x47	Silver Wing	Bag Key items pocket icon.png	Key items pocket
072	0x48	Moomoo Milk	Bag Items pocket icon.png	Items pocket
073	0x49	Quick Claw	Bag Items pocket icon.png	Items pocket
074	0x4A	PSNCureBerry	Bag Items pocket icon.png	Items pocket
075	0x4B	Gold Leaf	Bag Items pocket icon.png	Items pocket
076	0x4C	Soft Sand	Bag Items pocket icon.png	Items pocket
077	0x4D	Sharp Beak	Bag Items pocket icon.png	Items pocket
078	0x4E	PRZCureBerry	Bag Items pocket icon.png	Items pocket
079	0x4F	Burnt Berry	Bag Items pocket icon.png	Items pocket
080	0x50	Ice Berry	Bag Items pocket icon.png	Items pocket
081	0x51	Poison Barb	Bag Items pocket icon.png	Items pocket
082	0x52	King's Rock	Bag Items pocket icon.png	Items pocket
083	0x53	Bitter Berry	Bag Items pocket icon.png	Items pocket
084	0x54	Mint Berry	Bag Items pocket icon.png	Items pocket
085	0x55	Red Apricorn	Bag Items pocket icon.png	Items pocket
086	0x56	TinyMushroom	Bag Items pocket icon.png	Items pocket
087	0x57	Big Mushroom	Bag Items pocket icon.png	Items pocket
088	0x58	SilverPowder	Bag Items pocket icon.png	Items pocket
089	0x59	Blu Apricorn	Bag Items pocket icon.png	Items pocket
090	0x5A	Teru-sama	Bag Items pocket icon.png	Items pocket
091	0x5B	Amulet Coin	Bag Items pocket icon.png	Items pocket
092	0x5C	Ylw Apricorn	Bag Items pocket icon.png	Items pocket
093	0x5D	Grn Apricorn	Bag Items pocket icon.png	Items pocket
094	0x5E	Cleanse Tag	Bag Items pocket icon.png	Items pocket
095	0x5F	Mystic Water	Bag Items pocket icon.png	Items pocket
096	0x60	TwistedSpoon	Bag Items pocket icon.png	Items pocket
097	0x61	Wht Apricorn	Bag Items pocket icon.png	Items pocket
098	0x62	Blackbelt	Bag Items pocket icon.png	Items pocket
099	0x63	Blk Apricorn	Bag Items pocket icon.png	Items pocket
100	0x64	Teru-sama	Bag Items pocket icon.png	Items pocket
101	0x65	Pnk Apricorn	Bag Items pocket icon.png	Items pocket
102	0x66	BlackGlasses	Bag Items pocket icon.png	Items pocket
103	0x67	SlowpokeTail	Bag Items pocket icon.png	Items pocket
104	0x68	Pink Bow	Bag Items pocket icon.png	Items pocket
